user_id,action_type,target_type,target_id,result,description,created_at
,first_visit,,166,success,First visit,2024-03-01 15:06:00
61,first_visit,,150,success,First visit,2024-03-01 06:23:00
,first_visit,,72,success,First visit,2024-03-01 01:49:00
78,first_visit,,107,success,First visit,2024-03-01 01:14:00
,first_visit,,160,success,First visit,2024-03-01 01:12:00
2,first_visit,,42,success,First visit,2024-03-01 09:14:00
82,first_visit,,34,success,First visit,2024-03-01 08:12:00
,first_visit,,192,success,First visit,2024-03-01 22:21:00
90,first_visit,,183,success,First visit,2024-03-01 17:08:00
,register,,83,success,User registered,2024-03-01 13:15:00
,register,,43,success,User registered,2024-03-01 17:27:00
,register,,66,success,User registered,2024-03-01 17:06:00
,register,,137,success,User registered,2024-03-01 22:48:00
,register,,140,success,User registered,2024-03-01 23:35:00
,register,,46,success,User registered,2024-03-01 09:18:00
,register,,65,success,User registered,2024-03-01 11:50:00
93,login,,155,success,Login,2024-03-01 04:49:00
26,login,,154,success,Login,2024-03-01 11:41:00
26,login,,100,success,Login,2024-03-01 23:13:00
24,login,,178,success,Login,2024-03-01 01:32:00
,login,,149,success,Login,2024-03-01 14:23:00
68,login,,20,success,Login,2024-03-01 13:47:00
40,login,,174,success,Login,2024-03-01 12:57:00
15,logout,,6,success,Logout,2024-03-01 05:10:00
,logout,,195,success,Logout,2024-03-01 05:42:00
,logout,,16,success,Logout,2024-03-01 13:36:00
26,logout,,77,success,Logout,2024-03-01 06:43:00
,logout,,150,success,Logout,2024-03-01 21:00:00
86,logout,,187,success,Logout,2024-03-01 08:58:00
31,logout,,105,success,Logout,2024-03-01 11:13:00
,logout,,50,success,Logout,2024-03-01 09:23:00
18,create_topic,topic,120,success,Created topic,2024-03-01 06:27:00
83,create_topic,topic,16,success,Created topic,2024-03-01 11:34:00
47,create_topic,topic,182,success,Created topic,2024-03-01 04:47:00
15,create_topic,topic,140,success,Created topic,2024-03-01 18:24:00
76,create_topic,topic,183,success,Created topic,2024-03-01 16:46:00
,visit_topic,topic,31,success,Visit topic,2024-03-01 18:35:00
,visit_topic,topic,197,success,Visit topic,2024-03-01 18:39:00
33,visit_topic,topic,153,success,Visit topic,2024-03-01 11:43:00
98,visit_topic,topic,117,success,Visit topic,2024-03-01 14:22:00
58,visit_topic,topic,187,success,Visit topic,2024-03-01 23:07:00
,visit_topic,topic,134,success,Visit topic,2024-03-01 21:34:00
47,visit_topic,topic,120,success,Visit topic,2024-03-01 22:55:00
,visit_topic,topic,62,success,Visit topic,2024-03-01 03:31:00
,visit_topic,topic,162,success,Visit topic,2024-03-01 21:18:00
27,visit_topic,topic,115,success,Visit topic,2024-03-01 08:38:00
,visit_topic,topic,49,success,Visit topic,2024-03-01 16:17:00
32,visit_topic,topic,91,success,Visit topic,2024-03-01 04:06:00
79,visit_topic,topic,99,success,Visit topic,2024-03-01 05:16:00
64,visit_topic,topic,196,success,Visit topic,2024-03-01 01:08:00
,visit_topic,topic,27,success,Visit topic,2024-03-01 06:59:00
90,delete_topic,topic,68,success,Delete topic,2024-03-01 08:01:00
,delete_topic,topic,144,success,Delete topic,2024-03-01 08:50:00
,delete_topic,topic,197,success,Delete topic,2024-03-01 21:10:00
54,delete_topic,topic,71,success,Delete topic,2024-03-01 16:00:00
32,delete_topic,topic,193,success,Delete topic,2024-03-01 21:49:00
37,delete_topic,topic,134,success,Delete topic,2024-03-01 23:58:00
95,delete_topic,topic,196,success,Delete topic,2024-03-01 16:54:00
38,post_message,message,40,success,Posted message,2024-03-01 09:55:00
88,post_message,message,129,success,Posted message,2024-03-01 16:58:00
22,post_message,message,112,success,Posted message,2024-03-01 02:45:00
9,post_message,message,69,success,Posted message,2024-03-01 19:14:00
35,post_message,message,88,success,Posted message,2024-03-01 15:01:00
77,post_message,message,89,success,Posted message,2024-03-01 03:39:00
81,post_message,message,141,success,Posted message,2024-03-01 01:31:00
50,first_visit,,96,success,First visit,2024-03-02 21:42:00
,first_visit,,126,success,First visit,2024-03-02 22:20:00
87,first_visit,,96,success,First visit,2024-03-02 17:47:00
,first_visit,,83,success,First visit,2024-03-02 09:42:00
,first_visit,,163,success,First visit,2024-03-02 06:33:00
,first_visit,,14,success,First visit,2024-03-02 20:14:00
45,first_visit,,144,success,First visit,2024-03-02 06:17:00
83,first_visit,,163,success,First visit,2024-03-02 14:48:00
,first_visit,,181,success,First visit,2024-03-02 17:32:00
,register,,195,success,User registered,2024-03-02 07:47:00
,register,,115,success,User registered,2024-03-02 02:01:00
,register,,145,success,User registered,2024-03-02 12:44:00
,register,,109,success,User registered,2024-03-02 19:22:00
,register,,2,success,User registered,2024-03-02 02:09:00
,register,,173,success,User registered,2024-03-02 20:14:00
,register,,172,success,User registered,2024-03-02 02:55:00
,login,,82,success,Login,2024-03-02 23:25:00
25,login,,23,success,Login,2024-03-02 08:25:00
,login,,101,success,Login,2024-03-02 09:15:00
93,login,,106,success,Login,2024-03-02 00:50:00
,login,,178,success,Login,2024-03-02 16:30:00
43,login,,184,success,Login,2024-03-02 04:47:00
,login,,56,success,Login,2024-03-02 02:58:00
12,login,,38,success,Login,2024-03-02 11:03:00
45,login,,87,success,Login,2024-03-02 09:41:00
61,login,,161,success,Login,2024-03-02 20:55:00
,login,,73,success,Login,2024-03-02 12:34:00
,login,,130,success,Login,2024-03-02 19:07:00
31,logout,,154,success,Logout,2024-03-02 23:05:00
,logout,,39,success,Logout,2024-03-02 19:27:00
,logout,,157,success,Logout,2024-03-02 08:58:00
,logout,,50,success,Logout,2024-03-02 00:33:00
,logout,,132,success,Logout,2024-03-02 13:43:00
12,logout,,26,success,Logout,2024-03-02 00:20:00
,logout,,42,success,Logout,2024-03-02 08:21:00
81,create_topic,topic,170,success,Created topic,2024-03-02 05:15:00
48,create_topic,topic,159,success,Created topic,2024-03-02 02:19:00
1,create_topic,topic,39,success,Created topic,2024-03-02 17:55:00
12,create_topic,topic,135,success,Created topic,2024-03-02 04:22:00
10,create_topic,topic,116,success,Created topic,2024-03-02 22:57:00
4,create_topic,topic,19,success,Created topic,2024-03-02 04:19:00
